movieId,title,genres,clean_title,year,year_display,genres_list,genres_clean,user_tags,tmdbId,imdbId,avg_rating,vote_count,corpus
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995.0,(1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",adventure animation children comedy fantasy,pixar pixar fun,862,114709,3.92,215,toy story adventure animation children comedy fantasy pixar pixar fun 1995
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995.0,(1995),"['Adventure', 'Children', 'Fantasy']",adventure children fantasy,fantasy magic board game robin williams game,8844,113497,3.43,110,jumanji adventure children fantasy fantasy magic board game robin williams game 1995
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,1995.0,(1995),"['Comedy', 'Romance']",comedy romance,moldy old,15602,113228,3.26,52,grumpier old men comedy romance moldy old 1995
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,1995.0,(1995),"['Comedy', 'Drama', 'Romance']",comedy drama romance,,31357,114885,2.36,7,waiting to exhale comedy drama romance  1995
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,1995.0,(1995),['Comedy'],comedy,pregnancy remake,11862,113041,3.07,49,father of the bride part ii comedy pregnancy remake 1995
6,Heat (1995),Action|Crime|Thriller,Heat,1995.0,(1995),"['Action', 'Crime', 'Thriller']",action crime thriller,,949,113277,3.95,102,heat action crime thriller  1995
7,Sabrina (1995),Comedy|Romance,Sabrina,1995.0,(1995),"['Comedy', 'Romance']",comedy romance,remake,11860,114319,3.19,54,sabrina comedy romance remake 1995
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,1995.0,(1995),"['Adventure', 'Children']",adventure children,,45325,112302,2.88,8,tom and huck adventure children  1995
9,Sudden Death (1995),Action,Sudden Death,1995.0,(1995),['Action'],action,,9091,114576,3.12,16,sudden death action  1995
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,1995.0,(1995),"['Action', 'Adventure', 'Thriller']",action adventure thriller,,710,113189,3.5,132,goldeneye action adventure thriller  1995
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",1995.0,(1995),"['Comedy', 'Drama', 'Romance']",comedy drama romance,politics president,9087,112346,3.67,70,"american president, the comedy drama romance politics president 1995"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,1995.0,(1995),"['Comedy', 'Horror']",comedy horror,,12110,112896,2.42,19,dracula: dead and loving it comedy horror  1995
13,Balto (1995),Adventure|Animation|Children,Balto,1995.0,(1995),"['Adventure', 'Animation', 'Children']",adventure animation children,,21032,112453,3.12,8,balto adventure animation children  1995
14,Nixon (1995),Drama,Nixon,1995.0,(1995),['Drama'],drama,politics president,10858,113987,3.83,18,nixon drama politics president 1995
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,1995.0,(1995),"['Action', 'Adventure', 'Romance']",action adventure romance,,1408,112760,3.0,13,cutthroat island action adventure romance  1995
16,Casino (1995),Crime|Drama,Casino,1995.0,(1995),"['Crime', 'Drama']",crime drama,mafia,524,112641,3.93,82,casino crime drama mafia 1995
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,1995.0,(1995),"['Drama', 'Romance']",drama romance,jane austen,4584,114388,3.78,67,sense and sensibility drama romance jane austen 1995
18,Four Rooms (1995),Comedy,Four Rooms,1995.0,(1995),['Comedy'],comedy,,5,113101,3.7,20,four rooms comedy  1995
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,1995.0,(1995),['Comedy'],comedy,,9273,112281,2.73,88,ace ventura: when nature calls comedy  1995
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,1995.0,(1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",action comedy crime drama thriller,,11517,113845,2.5,15,money train action comedy crime drama thriller  1995
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,1995.0,(1995),"['Comedy', 'Crime', 'Thriller']",comedy crime thriller,hollywood,8012,113161,3.49,89,get shorty comedy crime thriller hollywood 1995
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,1995.0,(1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",crime drama horror mystery thriller,serial killer,1710,112722,3.22,36,copycat crime drama horror mystery thriller serial killer 1995
23,Assassins (1995),Action|Crime|Thriller,Assassins,1995.0,(1995),"['Action', 'Crime', 'Thriller']",action crime thriller,,9691,112401,3.12,16,assassins action crime thriller  1995
24,Powder (1995),Drama|Sci-Fi,Powder,1995.0,(1995),"['Drama', 'Sci-Fi']",drama scifi,,12665,114168,3.12,28,powder drama scifi  1995
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,1995.0,(1995),"['Drama', 'Romance']",drama romance,alcoholism,451,113627,3.62,76,leaving las vegas drama romance alcoholism 1995
26,Othello (1995),Drama,Othello,1995.0,(1995),['Drama'],drama,shakespeare,16420,114057,3.5,13,othello drama shakespeare 1995
27,Now and Then (1995),Children|Drama,Now and Then,1995.0,(1995),"['Children', 'Drama']",children drama,,9263,114011,3.33,9,now and then children drama  1995
28,Persuasion (1995),Drama|Romance,Persuasion,1995.0,(1995),"['Drama', 'Romance']",drama romance,in netflix queue jane austen,17015,114117,4.23,11,persuasion drama romance in netflix queue jane austen 1995
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0,(1995),"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",adventure drama fantasy mystery scifi,kidnapping,902,112682,4.01,38,"city of lost children, the (cité des enfants perdus, la) adventure drama fantasy mystery scifi kidnapping 1995"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,(1995),"['Crime', 'Drama']",crime drama,,37557,115012,3.0,3,shanghai triad (yao a yao yao dao waipo qiao) crime drama  1995
31,Dangerous Minds (1995),Drama,Dangerous Minds,1995.0,(1995),['Drama'],drama,high school teacher,9909,112792,3.18,38,dangerous minds drama high school teacher 1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,(1995),"['Mystery', 'Sci-Fi', 'Thriller']",mystery scifi thriller,time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,63,114746,3.98,177,twelve monkeys (a.k.a. 12 monkeys) mystery scifi thriller time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending 1995
34,Babe (1995),Children|Drama,Babe,1995.0,(1995),"['Children', 'Drama']",children drama,animal movie pigs villain nonexistent or not needed for good story,9598,112431,3.65,128,babe children drama animal movie pigs villain nonexistent or not needed for good story 1995
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,1995.0,(1995),"['Crime', 'Drama']",crime drama,death penalty nun,687,112818,3.84,67,dead man walking crime drama death penalty nun 1995
38,It Takes Two (1995),Children|Comedy,It Takes Two,1995.0,(1995),"['Children', 'Comedy']",children comedy,twins,33689,113442,2.12,4,it takes two children comedy twins 1995
39,Clueless (1995),Comedy|Romance,Clueless,1995.0,(1995),"['Comedy', 'Romance']",comedy romance,chick flick funny paul rudd quotable seen more than once emma jane austen,9603,112697,3.29,104,clueless comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen 1995
